,index,start_date_time,title,price,ticket_url,type,venue
18,18,2023-08-15T20:30:00+02:00,Pusha T,30,http://www.paradiso.nl/program/pusha-t/1059147,Concert,paradiso
19,19,2023-08-16T19:30:00+02:00,Two Feet,30,http://www.paradiso.nl/program/two-feet/526284,Concert,paradiso
20,20,2023-08-16T20:00:00+02:00,THUS LOVE,30,http://www.paradiso.nl/program/thus-love/663342,Concert,paradiso
21,21,2023-08-17T19:30:00+02:00,BoyWithUke + Sfven,30,http://www.paradiso.nl/program/boywithuk/665780,Concert,paradiso
22,22,2023-08-17T19:30:00+02:00,Christian Lee Hutson,30,http://www.paradiso.nl/program/christian-lee-hutson/1083638,Concert,paradiso
23,23,2023-08-18T17:00:00+02:00,Garden By Day,30,http://www.paradiso.nl/program/garden-by-day/1307831,Concert,paradiso
24,24,2023-08-18T19:30:00+02:00,Pabllo Vittar,30,http://www.paradiso.nl/program/pabllo-vittar/1064518,Concert,paradiso
25,25,2023-08-18T22:00:00+02:00,Destroy Boys,30,http://www.paradiso.nl/program/destroy-boys/1083729,Concert,paradiso
26,26,2023-08-18T23:59:00+02:00,East Collective XXXL,30,http://www.paradiso.nl/program/east-collective-xxxl/663331,Concert,paradiso
27,27,2023-08-19T19:30:00+02:00,TV Girl,30,http://www.paradiso.nl/program/tv-girl/526273,Concert,paradiso
28,28,2023-08-19T19:30:00+02:00,Tommy Prine,30,http://www.paradiso.nl/program/tommy-prine/1067215,Concert,paradiso
29,29,2023-08-19T21:00:00+02:00,Grachtenfestival x SSJ,30,http://www.paradiso.nl/program/grachtenfestival-x-ssj/1305215,Concert,paradiso
30,30,2023-08-19T23:00:00+02:00,We Love 90s Noodlanding!,30,http://www.paradiso.nl/program/we-love-90s-noodlanding/1304430,Concert,paradiso
31,31,2023-08-19T23:59:00+02:00,Descendants,30,http://www.paradiso.nl/program/descendants/1297148,Concert,paradiso
32,32,2023-08-20T19:30:00+02:00,Royel Otis,30,http://www.paradiso.nl/program/royel-otis/1077335,Concert,paradiso
33,33,2023-08-22T15:00:00+02:00,Preselections: Locking & Waacking Forever 2023,30,http://www.paradiso.nl/program/preselections-locking-waacking-forever-2023/1060924,Concert,paradiso
34,34,2023-08-22T20:30:00+02:00,"Theatre Forever: Dalton Jansen, Allongé, Carmel Loanga, Rubix",30,http://www.paradiso.nl/program/dalton-jansen-allonge-carmel-loanga-sundar-varma/1060988,Concert,paradiso
35,35,2023-08-22T20:30:00+02:00,skaiwater,30,http://www.paradiso.nl/program/skaiwater/1300176,Concert,paradiso
36,36,2023-08-23T10:45:00+02:00,Locking & Waacking Forever Battles 2023,30,http://www.paradiso.nl/program/locking-waacking-forever-battles-2023/1060932,Concert,paradiso
37,37,2023-08-23T20:30:00+02:00,"Benthé, Bots Kingdom, Hendrickx Ntela",30,http://www.paradiso.nl/program/benthe-pac-pac-hendrickx-ntela/1060980,Concert,paradiso
38,38,2023-08-23T23:00:00+02:00,Ghetto Funk Collective presents Dancing Machine,30,http://www.paradiso.nl/program/ghetto-funk-collective-presents-dancing-machine/1060964,Concert,paradiso
39,39,2023-08-24T12:00:00+02:00,Popping Forever Preselections & Battles 2023,30,http://www.paradiso.nl/program/popping-forever-preselections-battles-2023/1060940,Concert,paradiso
40,40,2023-08-24T20:30:00+02:00,"The Ruggeds x Ghetto Funk Collective, Bots Kingdom, Sons of Wind, Snack Break Movement",30,http://www.paradiso.nl/program/the-ruggeds-x-ghetto-funk-collective-bots-kingdom-sons-of-wind-snack-break-movement/1060984,Concert,paradiso
41,41,2023-08-24T23:00:00+02:00,Old School: The Early Years,30,http://www.paradiso.nl/program/old-school-the-early-years/1060968,Concert,paradiso
42,42,2023-08-25T16:00:00+02:00,Preselections: Hiphop & House Dance Forever 2023,30,http://www.paradiso.nl/program/preselections-hiphop-house-dance-forever-2023/1075154,Concert,paradiso
43,43,2023-08-25T17:00:00+02:00,Garden By Day,30,http://www.paradiso.nl/program/garden-by-day/1307837,Concert,paradiso
44,44,2023-08-25T23:00:00+02:00,Ziongate,30,http://www.paradiso.nl/program/ziongate/1075421,Concert,paradiso
45,45,2023-08-26T13:30:00+02:00,Waacking/Punking History Lecture by Princess Lockerooo,30,http://www.paradiso.nl/program/waacking-punking-history-lecture-by-princess-lockerooo/1300275,Concert,paradiso
46,46,2023-08-26T15:00:00+02:00,Hip Hop Games Exhibition,30,http://www.paradiso.nl/program/hip-hop-games-exhibition/1300391,Concert,paradiso
47,47,2023-08-26T18:30:00+02:00,House Dance Forever Battles 2023,30,http://www.paradiso.nl/program/house-dance-forever-battles-2023/1060948,Concert,paradiso
48,48,2023-08-26T23:00:00+02:00,KC the Funkaholic All Nighter,30,http://www.paradiso.nl/program/kc-the-funkaholic-all-nighter-this-aint-the-future-this-is-forever/1060972,Concert,paradiso
49,49,2023-08-27T13:00:00+02:00,Paradisodebat 2023,30,http://www.paradiso.nl/program/paradisodebat-2023/1299790,Concert,paradiso
